claim_id,article_id,topic,article_title,claim_sentence,claim_numeric_value,claim_numeric_unit,claim_period,claim_comparison_target,extracted_by,article_url
A015-02,A015,자동차,"영국車 관세 10%로 인하... 美 빅3 ""우리 차 산업에 해 끼칠 것"" 반발","컨설팅업체 글로벌데이터에 따르면 지난해 빅3가 미국으로 수입한 차량은 221만대로, 미국 전체 자동차 수입량(802만대)의 28%에 이른다.",221,만대,2025.05,,,https://www.chosun.com/economy/auto/2025/05/09/TDXX7IAYGFD77DFG3LJTUMJHQA
A015-03,A015,자동차,"영국車 관세 10%로 인하... 美 빅3 ""우리 차 산업에 해 끼칠 것"" 반발",영국의 대미 자동차 수출은 64억파운드(약 12조원)로 대미 수출 품목 1위다.,64,억 파운드,2025.05,,,https://www.chosun.com/economy/auto/2025/05/09/TDXX7IAYGFD77DFG3LJTUMJHQA
A018-01,A018,경제,한때 '미운 오리' 방산… 반도체·바이오에 이어 3대 산업으로 급성장,일 한국거래소에 따르면 방산·조선주 시가총액 상위 10종목의 시장가치 합계는 전날 기준 129조원을 기록했다. ,129,조원,2025.05,전날 기준(25.05.08),,https://www.chosun.com/economy/economy_general/2025/05/09/SGOIEYQ3P5BA3AGPPOVMZHPREQ
A018-02,A018,경제,한때 '미운 오리' 방산… 반도체·바이오에 이어 3대 산업으로 급성장,같은 날 자동차 업종 상위 10종목 시가총액 합계는 109조원에 그쳤다.,109,조원,2025.05,전날 기준(25.05.09),,https://www.chosun.com/economy/economy_general/2025/05/09/SGOIEYQ3P5BA4AGPPOVMZHPREQ
A018-03,A018,경제,한때 '미운 오리' 방산… 반도체·바이오에 이어 3대 산업으로 급성장, 작년 말에는 상황이 달랐다. 방산·조선 대표 기업들의 시가총액은 67조원으로 자동차 기업군(129조원)의 52% 수준에 불과했다.,67,조원,2025.05,작년 말,,https://www.chosun.com/economy/economy_general/2025/05/09/SGOIEYQ3P5BA5AGPPOVMZHPREQ
A021-01,A021,수출·무역,6월 1~20일 수출 8.3% 증가... 반도체 21.8%↑ 車 9.2%↑,관세청에 따르면 지난 1~20일 수출액은 386억7200만달러로 전년 동기 대비 8.3% 증가했다.,8.3,%,2025-06-01~06-20,2024년 동기 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/06/23/VRSULF3KLRDCXJYUXRMNW45AIY
A021-02,A021,수출·무역,6월 1~20일 수출 8.3% 증가... 반도체 21.8%↑ 車 9.2%↑,"반도체와 승용차 등 주력 수출 품목이 각각 21.8%, 9.2% 늘어난 영향이 컸다.",21.8,%,2025-06-01~06-20,2024년 동기 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/06/23/VRSULF3KLRDCXJYUXRMNW45AIY
A021-03,A021,수출·무역,6월 1~20일 수출 8.3% 증가... 반도체 21.8%↑ 車 9.2%↑,"반도체와 승용차 등 주력 수출 품목이 각각 21.8%, 9.2% 늘어난 영향이 컸다.",9.2,%,2025-06-01~06-20,2024년 동기 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/06/23/VRSULF3KLRDCXJYUXRMNW45AIY
A022-01,A022,소매판매,금리 0.25%p 내린 한은... 관세 폭탄·내수 부진에 경기 살리기 선택,통계청 발표에 따르면 작년 전국 17개 모든 시도에서 소매 판매가 감소한 것으로 나타났다. 전국적으로는 2.2% 감소했고,2.2,%,2024년(연간),2023년 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/02/25/2RBIFVNKT5ELXID4FUQCFM63G4
A022-02,A022,고용(건설업),금리 0.25%p 내린 한은... 관세 폭탄·내수 부진에 경기 살리기 선택,"지난달 건설업 취업자 수는 192만 1000명으로, 코로나 팬데믹 시기였던 2021년 이후 처음으로 200만명 아래로 내려갔다",1921000,명,2025년 1월,2021년 이후 최초(200만명 하회),Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/02/25/2RBIFVNKT5ELXID4FUQCFM63G4
A022-03,A022,수출·무역,금리 0.25%p 내린 한은... 관세 폭탄·내수 부진에 경기 살리기 선택," 관세청에 따르면 이달 1~20일 수출액은 353억달러로 전년보다 16% 늘었지만,",16,%,2025-02-01~02-20,2024년 동기 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/02/25/2RBIFVNKT5ELXID4FUQCFM63G4
A023-01,A023,소비자물가,물가상승률 석 달째 2%대...업체들 줄인상에 가공식품·외식 가격 ↑,"2일 통계청이 발표한 ‘3월 소비자물가 동향’에 따르면, 지난달 소비자물가 지수는 116.29로 전년 동월 대비 2.1% 상승했다.",2.1,%,2025년 3월,2024년 3월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/04/02/EZEOHOZC5NBBHKNEXYWAAYWO24
A023-02,A023,소비자물가(가공식품),물가상승률 석 달째 2%대...업체들 줄인상에 가공식품·외식 가격 ↑,"지난달 가공식품 물가는 전년 동월 대비 3.6% 올랐는데, 지난해 1월(3.2%) 이후 14개월 만에 최대 증가폭이다.",3.6,%,2025년 3월,2024년 3월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/04/02/EZEOHOZC5NBBHKNEXYWAAYWO24
A023-03,A023,소비자물가(외식),물가상승률 석 달째 2%대...업체들 줄인상에 가공식품·외식 가격 ↑,"외식 물가는 지난 2월(3%)에 이어 지난달에도 3% 상승했는데,",3,%,2025년 3월,2024년 3월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/04/02/EZEOHOZC5NBBHKNEXYWAAYWO24
A024-01,A024,인구동향(출생),작년 11월 출생아 14.6% 증가...2010년 이후 최대폭,"22일 통계청이 22일 발표한 ‘2024년 11월 인구동향’에 따르면, 작년 11월 출생아 수는 1년 전에 비해 14.6% 늘어난 2만95명으로 집계됐다. ",20095,명,2024년 11월,2023년 11월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/01/22/HAHTAVPQ75BJXM4GWC4SNRKAZA
A024-02,A024,인구동향(누계 출생),작년 11월 출생아 14.6% 증가...2010년 이후 최대폭,작년 1월부터 11월까지 출생아 수 22만94명으로 전년에 비해 3% 늘어났다.,220094,명,2024년 1~11월 누계,2023년 1~11월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/01/22/HAHTAVPQ75BJXM4GWC4SNRKAZA
A024-03,A024,인구동향(혼인),작년 11월 출생아 14.6% 증가...2010년 이후 최대폭,"향후 혼인 추이가 현재의 출생 증가세 유지를 결정하는 주요 변수로 지목되는 가운데, 작년 11월 혼인 건수는 1만8581건으로 1년 전 대비 11.3% 늘었다.",18581,건,2024년 11월,2023년 11월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/01/22/HAHTAVPQ75BJXM4GWC4SNRKAZA
A025-01,A025,인구동향(연간 혼인),작년 혼인 건수 15% 늘어...증가율 1970년 집계 이래 최고,"통계청이 26일 발표한 ‘2024년 12월 인구동향’에 따르면, 작년 한해 혼인 건수는 22만2422건으로 전년 대비 14.9% 늘었다. ",222422,건,2024년(연간),2023년 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/02/26/GSSMZGGYMBGKXLHSR4WOOWUCQ4
A025-02,A025,인구동향(12월 혼인),작년 혼인 건수 15% 늘어...증가율 1970년 집계 이래 최고,작년 12월 혼인 건수는 2만2519건에 달해 전년 동월 대비 28.1% 늘었다.,22519,건,2024년 12월,2023년 12월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/02/26/GSSMZGGYMBGKXLHSR4WOOWUCQ4
A025-03,A025,인구동향(이혼),작년 혼인 건수 15% 늘어...증가율 1970년 집계 이래 최고,작년 이혼 건수는 9만1155건으로 전년(9만1155건) 대비 1.3% 줄었다. ,91155,건,2024년(연간),2023년 대비 (※원문 전년치 표기 오타 확인 필요),Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/02/26/GSSMZGGYMBGKXLHSR4WOOWUCQ4
A026-01,A026,가계동향(전체 소득),1분기 가구당 月 소득 1년 새 4.5% 늘었지만 저소득층은 1.5% 줄어,"29일 통계청은 ’2025년 1분기 가계동향 조사 결과’에서, 올해 1분기 가구당 월평균 소득이 535만1000원으로 지난해 같은 기간 대비 4.5% 증가했다고 밝혔다.",5351000,원,2025년 1분기,2024년 1분기 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/05/30/PVQ5FXMBSFCETC4MIINOSK535M
A026-02,A026,가계동향(저소득층 소득),1분기 가구당 月 소득 1년 새 4.5% 늘었지만 저소득층은 1.5% 줄어,소득 하위 20%(1분위) 가구의 월평균 소득은 114만원으로 1년 전보다 1.5% 줄었다.,1140000,원,2025년 1분기,2024년 1분기 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/05/30/PVQ5FXMBSFCETC4MIINOSK535M
A026-03,A026,가계동향(소득분배지표),1분기 가구당 月 소득 1년 새 4.5% 늘었지만 저소득층은 1.5% 줄어, 이에 가구원 수가 같다고 가정해 상위 20%의 소득이 하위 20%의 몇 배인지를 보여주는 지표인 균등화 처분가능소득 5분위 배율은 1분기 6.32배로 전년 같은 기간의 5.98배보다 올랐다. ,6.32,배,2025년 1분기,2024년 1분기(5.98배) 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/05/30/PVQ5FXMBSFCETC4MIINOSK535M
A027-01,A027,소비자물가(전체),돼지고기·계란 고공행진… 축산물 물가 6% 올라,4일 통계청은 ‘5월 소비자 물가 동향’에서 지난달 소비자 물가가 전년 동월 대비 1.9% 올랐다고 밝혔다.,1.9,%,2025년 5월,2024년 5월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/06/05/7CAZV7VZIVDGVJTCK22YR6RKMI
A027-02,A027,소비자물가(축산물),돼지고기·계란 고공행진… 축산물 물가 6% 올라,"하지만 지난달 돼지고기(8.4%), 국산 쇠고기(5.3%), 계란(3.8%) 등의 가격이 일제히 오르며, 축산물 가격 상승 폭은 6.2%를 기록했다.",6.2,%,2025년 5월,2024년 5월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/06/05/7CAZV7VZIVDGVJTCK22YR6RKMI
A027-03,A027,소비자물가(생활물가),돼지고기·계란 고공행진… 축산물 물가 6% 올라,"이에 가격이 변하면 소비자들이 민감하게 반응하는 144품목만 추려서 작성한 생활 물가는 전년 동월 대비 2.3% 오르며, 올 들어 최저 상승 폭을 보였다.",2.3,%,2025년 5월,2024년 5월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/06/05/7CAZV7VZIVDGVJTCK22YR6RKMI
A028-01,A028,사회조사(삶의 만족도),한국 국민 삶 만족도 OECD 38국 중 33위,24일 통계청은 ‘국민 삶의 질 2024’ 보고서에서 우리나라 국민들의 지난 3년간(2021~2023년) 평균 삶의 만족도 점수가 6.06점을 기록했다고 밝혔다.,6.06,점,	2021~2023년 평균,OECD 38개국 순위 비교(33위),Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/02/25/7PFLVADLU5CBDNFI3Q4SI5DAEU
A028-02,A028,사회조사(삶의 만족도),한국 국민 삶 만족도 OECD 38국 중 33위,2023년 우리나라 국민들의 삶의 만족도는 10점 만점에 6.4점으로 전년 대비 0.1점 감소했다.,6.4,점,2023년,2022년 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/02/25/7PFLVADLU5CBDNFI3Q4SI5DAEU
A029-01,A029,교육(고학력자 비율),"女 대졸 이상 비율, 80년대생부터 男 앞서",반면 1980~1984년생부터는 여성의 고학력자 비율이 72.1%로 남성(69.4%)을 2.7%포인트 앞섰다.,72.1,%,1980~1984년생 코호트,남성(69.4%) 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/03/28/FV56ZTW6QJB45D7N322ZPHFHYU
A029-02,A029,교육(고학력자 비율),"女 대졸 이상 비율, 80년대생부터 男 앞서",1990~1994년생 여성의 대학 이상 졸업자 비율은 78.5%로 남성(65.3%)보다 무려 13%포인트 이상 높았다.,78.5,%,1990~1994년생 코호트,남성(65.3%) 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/03/28/FV56ZTW6QJB45D7N322ZPHFHYU
A030-01,A030,경제성장 (⚠판단불가 후보),"정부 ""올해 경제성장률 1.8%""… 한은 전망보다 더 낮췄다",수출과 건설 경기 부진 여파로 새해 우리나라 경제가 1.8% 성장하는 데 그칠 것이라고 기획재정부가 2일 전망했다.,1.8,%,2025년(전망치),한국은행 전망(1.9%) 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/01/02/FWT5PD42TZED7JTIXYCIECCFRE
A031-01,A031,부동산/주택 (⚠판단불가 후보),한국 대도시·소도시 집값 격차 3배 'OECD 최대',OECD가 집계한 18국 중 한국에서만 인구 150만명 이상인 대도시의 평균 집값이 10만명 미만 소도시의 3배 이상으로 나왔다.,3,배 이상,조사 시점(OECD 보고서 기준),18개국 중 최대 격차,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/02/21/IXS5JNAIDBA5PDDU3A5TSB3TKM
A032-01,A032,소비자물가(전체),"물가 상승률 두 달 연속 2%대...치솟은 기름값, 물가 끌어 올려","6일 통계청이 발표한 ‘2월 소비자물가 동향’에 따르면, 지난달 소비자물가지수는 116.08로 전년 동월 대비 2% 상승했다. ",2,%,2025년 2월,2024년 2월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/03/06/IXLFBAQ5RFD7HKWH6T3LQXPQWA
A032-02,A032,소비자물가(석유류),"물가 상승률 두 달 연속 2%대...치솟은 기름값, 물가 끌어 올려","지난달 석유류 가격은 전년 동월 대비 6.3% 올라, 1월(7.3%)에 이어 두 달 연속으로 5% 이상의 상승폭을 보였다.",6.3,%,2025년 2월,2024년 2월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/03/06/IXLFBAQ5RFD7HKWH6T3LQXPQWA
A032-03,A032,소비자물가(생활물가),"물가 상승률 두 달 연속 2%대...치솟은 기름값, 물가 끌어 올려",기름값 부담이 반영된 생활물가지수는 지난달 2.6% 오르며 지난해 7월(3%) 이후 7개월 만에 최대 상승폭을 보였다. ,2.6,%,2025년 2월,2024년 2월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/03/06/IXLFBAQ5RFD7HKWH6T3LQXPQWA/
A033-01,A033,수출·무역(연간 총수출),반도체 덕에… 지난해 수출 6838억달러 역대 최대,작년 한 해 전체 수출액이 6838억달러(약 1006조원)로 2023년에 비해 8.2% 증가했다고 산업통상자원부와 관세청이 1일 밝혔다. ,6838,억달러,2024년(연간),2023년 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/01/02/6MYGM52QIVHUJBIZYYFBUW5IQM
A033-02,A033,수출·무역(무역수지),반도체 덕에… 지난해 수출 6838억달러 역대 최대,"작년 한국의 수입액은 전년보다 1.6% 감소한 6320억달러로, 518억달러의 무역 흑자를 기록했다.",518,억달러,2024년(연간),2023년 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/01/02/6MYGM52QIVHUJBIZYYFBUW5IQM
A033-03,A033,수출·무역(12월 수출),반도체 덕에… 지난해 수출 6838억달러 역대 최대,작년 12월 수출은 613억8000만달러로 1년 전 대비 6.6% 늘어 한 달 전(1.4%)에 비해 오름폭을 키웠다.,613.8,억달러,2024년 12월,2023년 12월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/01/02/6MYGM52QIVHUJBIZYYFBUW5IQM
A033-04,A033,수출·무역(반도체 12월),반도체 덕에… 지난해 수출 6838억달러 역대 최대,수출 증가율은 작년 8월(10.9%)부터 11월까지 꺾이다가 지난달 들어 반도체 수출이 31.5% 불어나며 오름세로 돌아섰다.,31.5,%,2024년 12월,2023년 12월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/01/02/6MYGM52QIVHUJBIZYYFBUW5IQM
A034-01,A034,온라인쇼핑(전체 거래액),내수 부진에 온라인 쇼핑마저 주춤… 가방 거래는 1년4개월 연속↓,통계청은 2일 발표한 ‘4월 온라인 쇼핑 동향’에서 지난 4월 온라인 쇼핑 거래액이 21조6858억원으로 전년 동월 대비 2.5% 늘었다고 밝혔다.,21685800000000,원,2025년 4월,2024년 4월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/06/02/NP7AYM35FBDMHIX6A74PKMOFHQ
A034-02,A034,온라인쇼핑(가방),내수 부진에 온라인 쇼핑마저 주춤… 가방 거래는 1년4개월 연속↓,"작년 4월까지만 해도 증가율이 11.5%에 달했는데, 작년 5월(8.7%)부터 지난 4월까지 12개월 연속으로 한 자릿수 성장세를 기록했다.",-11.3,%,2025년 4월,2024년 4월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/06/02/NP7AYM35FBDMHIX6A74PKMOFHQ
A034-03,A034,온라인쇼핑(이쿠폰),내수 부진에 온라인 쇼핑마저 주춤… 가방 거래는 1년4개월 연속↓,이(e)쿠폰 서비스 거래액도 지난해 ‘티메프 사태’ 여파로 인해 1년 전 대비 49.1%나 줄었다.,-49.1,%,2025년 4월,2024년 4월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/06/02/NP7AYM35FBDMHIX6A74PKMOFHQ
A035-01,A035,고용(산업별 비중),"지난달 보건·복지 산업 종사자 비율, 사상 첫 10% 넘어서",17일 통계청은 지난달 보건·사회복지 서비스업 종사자가 281만2000명으로 전체 취업자(2787만8000명)의 10.1%를 차지했다고 밝혔다.,10.1,%,2025년 1월,2024년 1월(9.7%) 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/02/18/Y6DKXUY4YJAXDAFM64QYC5MPFU
A035-02,A035,고용(연간 종사자 증가),"지난달 보건·복지 산업 종사자 비율, 사상 첫 10% 넘어서","간병인, 요양보호사 등이 필요한 이들이 늘며, 2014년 170만9000명이었던 보건·복지 종사자는 지난해 294만1000명으로 10년 만에 120만명 불어났다.",2941000,명,2024년(연간),"2014년(1,709,000명) 대비",Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/02/18/Y6DKXUY4YJAXDAFM64QYC5MPFU
A035-03,A035,고용(제조업 비중 하락),"지난달 보건·복지 산업 종사자 비율, 사상 첫 10% 넘어서"," 제조업 종사자 비율은 2014년 17%에서 지난해 15.6%로 하락한 반면,",15.6,%,2024년(연간),2014년(17%) 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/02/18/Y6DKXUY4YJAXDAFM64QYC5MPFU
A036-01,A036,부동산/주택(전국 시가총액),전국 주택 시총 6839조… 68%가 수도권에, 2023년 말 전국 주택 시가총액은 6839조원으로 집계됐다. ,6839000000000000,원,2023년 말,-,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/03/27/7CL52K5RZFDOBO7FGPJZSJ75T4
A036-02,A036,부동산/주택(수도권 비중),전국 주택 시총 6839조… 68%가 수도권에," 이어 경기(1986조원), 부산(389조원), 인천(321조원) 순이었다. 전국에서 서울·경기·인천 등 수도권이 차지하는 비율은 67.7%에 달했다.",67.7,%,2023년 말,-,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/03/27/7CL52K5RZFDOBO7FGPJZSJ75T4
A036-03,A036,부동산/주택(유형별 비중),전국 주택 시총 6839조… 68%가 수도권에,"주택 시가총액의 대부분은 아파트로, 전국 기준 아파트 비율은 76.3%로 나타났다. 이어 단독주택(15.5%), 연립·다세대주택(8.2%) 등이 뒤를 이었다.",76.3 / 15.5 / 8.2,%,2023년 말,-,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/03/27/7CL52K5RZFDOBO7FGPJZSJ75T4
A037-01,A037,기업활동조사(AI 도입률),"대한상의 ""AI 도입이 기업 매출 4%, 부가가치 7% 높였다""",현재 국내 기업 AI 도입률은 6.4%(2023년 기준)다.,6.4,%,2023년,2018년(2.8%) 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/industry-company/2025/06/08/JQLCGNZQWNAYRDLXDNDOJDHC4I
A037-02,A037,기업활동조사(산업별 도입률),"대한상의 ""AI 도입이 기업 매출 4%, 부가가치 7% 높였다"""," (AI도입률) 산업별로는 정보통신업이 26%로 가장 높았지만, 제조업은 4%에 그쳐 산업 간 디지털 격차가 큰 상황이다.",2026-04-26 00:00:00,%,2023년,산업 간 비교,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/industry-company/2025/06/08/JQLCGNZQWNAYRDLXDNDOJDHC4I
A038-01,A038,고용(전체 취업자수),고용 한파… 청년이라 더 추운 겨울,"15일 통계청이 발표한 ‘2024년 12월 및 연간 고용 동향’에 따르면, 지난달 취업자 수는 2804만1000명으로 전년 동월 대비 5만2000명 감소했다.",28041000,명,2024년 12월,2023년 12월 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/01/16/IYBVLBS7D5AJ3ENSN7WNDOJX2Y
A038-02,A038,고용(청년 실업률),고용 한파… 청년이라 더 추운 겨울,청년 실업률은 5.9%로 6%에 육박했다. ,5.9,%,2024년 12월,-,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/01/16/IYBVLBS7D5AJ3ENSN7WNDOJX2Y
A038-03,A038,고용(전체 고용률),고용 한파… 청년이라 더 추운 겨울,인구 대비 취업자 수 비율을 뜻하는 고용률은 지난달 61.4%로 1년 전(61.7%)에 비해 0.3%포인트 떨어졌다.,61.4,%,2024년 12월,2023년 12월(61.7%) 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/01/16/IYBVLBS7D5AJ3ENSN7WNDOJX2Y
A039-01,A039,경제성장(전국 GRDP),"지역 내 총생산 증가율 경북·울산, 1·2위 기록",26일 통계청은 ’2025년 1분기 실질 지역내총생산‘ 보고서에서 올해 1분기 전국 지역내총생산 증가율이 0.1%로 집계됐다고 밝혔다. ,0.1,%,2025년 1분기,전분기 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/06/27/GX3LOU75LRESZFROWV2AS7IDFE
A039-02,A039,경제성장(시도별 GRDP),"지역 내 총생산 증가율 경북·울산, 1·2위 기록","시도별 증가율을 보면, 경북(1.6%), 울산(1.4%), 서울(1.0%) 순으로 높았다. ",1.6 / 1.4 / 1.0,%,2025년 1분기,시도 간 비교,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/06/27/GX3LOU75LRESZFROWV2AS7IDFE
A039-03,A039,경제성장(건설업 GRDP),"지역 내 총생산 증가율 경북·울산, 1·2위 기록",특히 건설업 불황은 전국적으로 심각한 상태였다. 올해 1분기 건설업 GRDP는 전년 같은 기간 대비 12.4% 감소했다. ,-12.4,%,2025년 1분기,2024년 1분기 대비,Claude(수동 추출) + 사람 교정 필요,https://www.chosun.com/economy/economy_general/2025/06/27/GX3LOU75LRESZFROWV2AS7IDFE
