claim_id,confidence,gold_table_id,sentence,V1_rank,V4_rank,V1_top1,V4_top1,V4_vs_V1
A038-03,high,DT_1DA7001S,인구 대비 취업자 수 비율을 뜻하는 고용률은 지난달 61.4%로 1년 전(61.7%)에 비해 0.3%포인트 ,1.0,1.0,DT_1DA7001S,DT_1DA7001S,동일
A040-02,high,DT_1DA7102S, 지난달 청년층 고용률은 44.3%에 그치며 전년 같은 달 대비 1.7%포인트 감소했다. ,,,DT_1DA7001S,DT_1DA7001S,동일
A040-03,high,DT_1DA7102S,청년 취업자는 355만7000명으로 1년 새 23만5000명 줄었다. ,,,DT_1DA7001S,DT_1DA7001S,동일
A042-01,low,DT_1K41017,"3일 통계청이 발표한 ‘2024년 12월 및 연간 산업활동 동향’에 따르면, 작년 연간 소매판매액은 전년보다",1.0,1.0,DT_1K41017,DT_1K41017,동일
A042-02,high,DT_1JH20201,다만 반도체를 중심으로 수출 실적이 회복되면서 작년 산업 생산은 1.7% 늘어 전년(1%)에 비해 증가 폭이,2.0,3.0,DT_1JH20202,DT_1JH20202,악화
A042-03,high,DT_1G18007,건설 경기가 얼어붙으면서 토목·건축 분야 건설 실적을 뜻하는 ‘건설기성’도 작년 한 해 4.9%나 줄어 20,1.0,1.0,DT_1G18007,DT_1G18007,동일
A043-01,high,DT_1J22003,"2일 통계청이 발표한 '4월 소비자물가 동향'에 따르면, 지난달 소비자물가 지수는 116.38로 전년 동월 ",1.0,1.0,DT_1J22003,DT_1J22003,동일
A044-01,high,DT_151Y001,18일 한국은행은 작년 말 우리나라 가계신용 잔액이 1927조3000억원으로 전년보다 41조8000억원(2.,1.0,1.0,DT_151Y001,DT_151Y001,동일
A045-01,high,DT_2KAA809,한국은행이 6일 발표한 외환보유액 통계에 따르면 작년 12월말 기준 우리나라 외환보유액은 4156억달러(약 ,1.0,1.0,DT_2KAA809,DT_2KAA809,동일
A046-01,high,TX_13301_A169,"6일 국세청 국세 통계에 따르면, 지난해 개인, 법인을 합쳐 폐업 신고를 한 사업자는 100만8282명이었다",1.0,1.0,TX_13301_A169,TX_13301_A169,동일
A047-01,high,DT_104Y282,이 중 우리나라 전체 주택 시가총액은 7158조원으로 추정된다.,1.0,1.0,DT_104Y282,DT_104Y282,동일
A048-01,high,DT_511Y002,소비 심리를 나타내는 소비자심리지수(CCSI)는 12월 88.4로 전월보다 12.3포인트 급락했다.,1.0,1.0,DT_511Y002,DT_511Y002,동일
A049-01,high,DT_1C8015,현재 경기의 호황·불황 여부를 보여주는 동행종합지수 순환변동치는 지난달 98.5로 전달 대비 0.4포인트 하,1.0,1.0,DT_1C8015,DT_1C8015,동일
A050-01,high,DT_102006_001,지난해 우리나라의 국가 채무가 1175조2000억원으로 역대 최대액을 경신했다.,1.0,1.0,DT_102006_001,DT_102006_001,동일
A050-02,high,DT_102N_AD01,지난해 총수입에서 총지출을 뺀 통합 재정 수지는 43조5000억원 적자로 GDP 대비 1.7%를 차지했다.,2.0,2.0,DT_200Y102,DT_200Y102,동일
A051-01,high,DT_32202_A100,9일 국민연금공단의 공표통계에 따르면 작년 10월 말 기준 국민연금 전체 가입자 수는 2181만2216명이다,1.0,1.0,DT_32202_A100,DT_32202_A100,동일
A051-02,high,DT_32202_B004,"작년 10월 기준 국민연금 수급자 수는 723만5901명(일시금 수급자 포함)으로, 2023년 말(682만2",1.0,1.0,DT_32202_B004,DT_32202_B004,동일
A053-01,high,DT_401Y015,한국은행이 14일 발표한 수출입물가지수 및 무역수지 통계에 따르면 작년 12월 원화 기준 수입물가지수는 14,1.0,1.0,DT_401Y015,DT_401Y015,동일
A053-02,high,DT_402Y014,"수출물가지수는 133.75로 전월대비 2.4%, 전년 대비 10.7% 올랐다.",1.0,1.0,DT_402Y014,DT_402Y014,동일
A054-01,high,DT_512Y013,23일 한국은행이 발표한 1월 기업경기조사 결과에 따르면 이달 기업심리지수(CBSI)는 비제조업 위주로 악화,1.0,1.0,DT_512Y013,DT_512Y013,동일
A055-01,high,DT_1ED0001,"통계청이 23일 발표한 '2024년 양곡소비량조사 결과'에 따르면, 작년 국민 1인당 쌀 소비량은 1년 전 ",1.0,1.0,DT_1ED0001,DT_1ED0001,동일
A056-01,high,DT_1B26001_A01,이날 함께 발표된 '9월 국내 인구 이동 통계'에 따르면 지난달 거주지를 이동한 이동자 수는 49만4000명,1.0,1.0,DT_1B26001_A01,DT_1B26001_A01,동일
A057-01,high,DT_1TEC_P112,"국가데이터처가 10일 발표한 '2025년 3분기 기업특성별 무역통계'에 따르면, 3분기 수출액 상위 10개 ",1.0,2.0,DT_1TEC_P112,DT_1R11006_FRM101,악화
A058-01,high,DT_1B04005N,"지난해 20대 인구는 630만2000명으로, 전년보다 19만3000명 줄었다.",1.0,1.0,DT_1B04005N,DT_1B04005N,동일
A058-02,high,DT_1B04005N,70대 이상 인구(654만3000명)보다 24만1000명 적은 수치다.,1.0,1.0,DT_1B04005N,DT_1B04005N,동일
A059-01,high,DT_200Y102,작년 4분기(10~12월) 우리나라 경제가 전분기보다 0.1% 성장하는 데 그쳤다.,,,,,동일
A060-01,high,DT_1R11006_FRM101,작년 수출은 6838억달러로 역대 최대치를 경신했다.,1.0,1.0,DT_1R11006_FRM101,DT_1R11006_FRM101,동일
A061-01,high,DT_343_2010_S0027,지난주(3월 31일~4월 4일) 코스피 지수는 2557.98포인트(p)로 시작했다.,1.0,1.0,DT_343_2010_S0027,DT_343_2010_S0027,동일
A062-01,low,DT_311Y001,한국은행은 28일 올해 3월 말 기준 우리나라 대외금융자산 중 증권 투자가 1조118억달러(약 1400조원),1.0,1.0,DT_311Y001,DT_311Y001,동일
A063-01,low,DT_1JH20202,반도체 슈퍼사이클이 9월 산업 전반의 생산과 투자 증가를 이끌었다(9월 전 산업 생산 1.0% 증가).,1.0,1.0,DT_1JH20202,DT_1JH20202,동일
A064-01,high,DT_115_2009_H3001_18_1,산업통상자원부는 올 1분기 FDI 신고액이 64억1000만달러(약 9조4000억원)를 기록했다고 3일 밝혔다,1.0,1.0,DT_115_2009_H3001_18_1,DT_115_2009_H3001_18_1,동일
A065-01,high,DT_301Y013,한국은행은 6일 작년 우리나라의 연간 경상수지 흑자가 990억4000만달러로 집계됐다고 밝혔다.,1.0,1.0,DT_301Y013,DT_301Y013,동일
A066-01,high,DT_1F70011,설비투자는 전달 대비 14.2% 감소했다.,1.0,1.0,DT_1F70011,DT_1F70011,동일
A067-01,high,DT_404Y014,지난달 생산자물가지수가 전월에 비해 0.1% 하락했다고 한국은행이 23일 밝혔다.,1.0,1.0,DT_404Y014,DT_404Y014,동일
A068-01,low,DT_IMEMIB001,2023년 소득 분위(1~5분위)가 전년 대비 한 계단 이상 상승한 사람은 소득이 있는 15세 이상 인구의 ,,,DT_1B04005N,DT_1B04005N,동일
A069-01,low,DT_200Y001,우리나라 작년 1인당 국민총소득(GNI)이 2년 연속 일본을 앞선 것으로 집계됐다(3만6745달러).,1.0,1.0,DT_200Y001,DT_200Y001,동일
