claim_id,kosis_table_id,org_id,org_name,kosis_value,kosis_source_url,match_status,note,mapped_by,mapped_at
A018-03,DT_343_2010_S0016,343.0,한국거래소(증권·파생상품시장통계),,https://kosis.kr/statHtml/statHtml.do?orgId=343&tblId=DT_343_2010_S0016,표 후보 확인 (분류 불일치),작년말 방산·조선 시가총액(67조원) - 상동 사유,"Claude(코시스 커넥터 자동 매칭, 수치 미대조/불일치)",2026-07-31
A021-01,,,,,,매칭 실패,관세청 '1~20일 수출입 현황'은 월 2회 발표되는 잠정치(가집계)로 KOSIS에 정식 등재되지 않음. 관세청 수출입무역통계(또는 무역통계정보포털) 원자료 직접 확인 필요 ->직접확인하니 월별 통계는 존재하나 일별 통계는 확인할 수 없어 정확한 값 판단 불가,"Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A021-02,,,,,,매칭 실패,"상동 (반도체 21.8%, 관세청 잠정치)","Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A021-03,,,,,,매칭 실패,"상동 (자동차 9.2%, 관세청 잠정치)","Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A022-01,DT_1K41013,101.0,국가데이터처(서비스업동향조사),,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1K41013,표 후보 확인 (총계 항목 미확인),국가데이터처 서비스업동향조사 '소매업태별 판매액지수'를 조회한 결과 '시도별 소매판매액지수'는 확인했으나 '전국'에 대한 통계는 없어 -2.2% 총계와 직접 대조 못함,"Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A022-02,DT_1DA7E33S,101.0,국가데이터처(경제활동인구조사),,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7E33S,표 후보 확인 (최신월 미제공),"경제활동인구조사 '행정구역(시도)/산업별 취업자'(objL1=00 전국, objL2=41 건설업). 조회 시점 기준 최신 데이터가 2024.12(201.07만명)까지만 제공되어 기사의 2025.1월(192.1만명)과 직접 대조 못함 - 시차 있는 최신치 재조회 필요","Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A022-03,,,,,,매칭 실패,"관세청 '2월 1~20일 수출' 잠정치, KOSIS 미등재 (A021과 동일 사유)","Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A023-01,DT_1J22112,101.0,국가데이터처(소비자물가조사),116.29(지수)/+2.1%,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1J22112,값 확인됨 (일치),"2025.3 총지수 116.29, 2024.3(113.95) 대비 +2.05%. 기사 수치와 일치","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A023-02,DT_1J22112,101.0,국가데이터처(소비자물가조사),123.19(지수)/+3.6%,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1J22112,값 확인됨 (일치),"가공식품 지수 2025.3=123.19, 2024.3(118.92) 대비 +3.59%. 기사 수치(3.6%)와 일치","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A023-03,DT_1J22112,101.0,국가데이터처(소비자물가조사),123.8(지수)/+3.0%,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1J22112,값 확인됨 (일치),"외식 지수 2025.3=123.8, 2024.3(120.21) 대비 +2.99%. 기사 수치(3%)와 정확히 일치","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A024-01,DT_1B8000G,101.0,국가데이터처(인구동향조사),"20,083명",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B8000G,값 확인됨 (불일치),"KOSIS 2024.11 전국 출생아수=20,083명. 기사 수치(20,095명)와 12명 차이 - 잠정치/확정치 개편 차이로 추정","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A024-02,DT_1B8000G,101.0,국가데이터처(인구동향조사),"220,061명",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B8000G,값 확인됨 (불일치),"2024년 1~11월 월별 출생아수를 합산한 결과 220,061명. 기사 수치(220,094명)와 33명 차이 - A024-01/A025-01/A025-03와 동일하게 개정 차이로 추정","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A024-03,DT_1B8000G,101.0,국가데이터처(인구동향조사),"18,581건",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B8000G,값 확인됨 (일치),"2024.11 혼인건수=18,581건. 기사 수치와 일치","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A025-01,DT_1B8000G,101.0,국가데이터처(인구동향조사),"222,412건",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B8000G,값 확인됨 (불일치),"2024년 연간 혼인건수=222,412건. 기사 수치(222,422건)와 10건 차이 - 확정치 개편 가능성","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A025-02,DT_1B8000G,101.0,국가데이터처(인구동향조사),"22,519건",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B8000G,값 확인됨 (일치),"2024.12 혼인건수=22,519건. 기사 수치와 일치","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A025-03,DT_1B8000G,101.0,국가데이터처(인구동향조사),"91,151건",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B8000G,값 확인됨 (불일치),"2024년 연간 이혼건수=91,151건. 기사 수치(91,155건)와 4건 차이","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A026-01,DT_1L9U001,101.0,국가데이터처(가계동향조사),,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1L9U001,표 후보 확인 (해당 주기 미제공),가계동향조사 '가구당 월평균 가계수지'(분기). 기사 수치는 2025.1분기 (535만1000원)이지만 kosis데이터는 2024.4분기까지만 제공됨.,"Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A026-02,DT_1L9U001,101.0,국가데이터처(가계동향조사),,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1L9U001,표 후보 확인 (해당 주기 미제공),상동 이유,"Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A026-03,DT_1HDALF05,101.0,국가데이터처(가계금융복지조사),,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1HDALF05,표 후보 확인 (해당 주기 미제공),상동 이유,"Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A027-01,DT_1J22112,101.0,국가데이터처(소비자물가조사),116.27(지수)/+1.9%,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1J22112,값 확인됨 (일치),"2025.5 총지수 116.27, 2024.5(114.1) 대비 +1.90%. 기사 수치와 일치","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A027-02,DT_1J22112,101.0,국가데이터처(소비자물가조사),축산물121.52/돼지고기125.73/쇠고기104.65/계란139.36 (2025.5),https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1J22112,값 확인됨 (일치),"축산물 +6.19%→6.2%, 돼지고기 +8.43%→8.4%, 국산쇠고기 +5.28%→5.3%, 달걀 +3.76%→3.8% (모두 2024.5 대비). 기사의 4개 수치 전부 일치","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A027-03,DT_1J22005,101.0,국가데이터처(소비자물가조사),119.2(지수)/+2.3%,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1J22005,값 확인됨 (일치),"생활물가지수, 2025.5=119.2, 2024.5(116.53) 대비 +2.29%→+2.3%. 기사 수치와 일치","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A028-01,,,,,,매칭 실패,"'국민 삶의 질' 보고서의 3개년 평균 삶의만족도(6.06점, OECD 33위, 0~10점 척도)는 KOSIS 검색으로 후보 표(INH_1SSSP020R '삶의 만족도')를 찾았으나 해당 표는 만족/불만족 응답비율(%) 형태라 점수(6.06점) 형식과 불일치 - 별도 산출 지표로 KOSIS 내 직접 매칭 어려움","Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A028-02,,,,,,매칭 실패,2023년 삶의만족도 6.4점 - 상동 이유,"Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A029-01,,,,,,매칭 실패,"1980~1984년생 코호트별 학력 비율은 인구총조사 마이크로데이터를 이용한 자체 분석 수치로 추정되며, KOSIS의 표준 정기표에서 동일한 출생연도 코호트 분류를 찾지 못함","Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A029-02,,,,,,매칭 실패,1990~1994년생 코호트 - 상동 이유,"Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A030-01,,,,,,매칭 실패,기획재정부 '2025년 경제성장률 전망치(1.8%)'는 전망치(예측 수치)로 확정 통계가 아니므로 KOSIS 대상 아님,"Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A031-01,,,,,,매칭 실패,OECD 자체 집계 대도시/소도시 집값 비교 보고서 - KOSIS 국내 통계와 직접 매칭 어려움,"Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A032-01,DT_1J22112,101.0,국가데이터처(소비자물가조사),116.08(지수)/+2.0%,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1J22112,값 확인됨 (일치),2025.2 총지수 116.08. 기사 원문의 지수(116.08)와 일치,"Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A032-02,DT_1J22112,101.0,국가데이터처(소비자물가조사),130.35(지수)/+6.3%,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1J22112,값 확인됨 (일치),"석유류 지수 2025.2=130.35, 2024.2(122.66) 대비 +6.27%. 기사 수치(6.3%)와 일치","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A032-03,,,,,,미완료,생활물가지수 2.6% - A027-03과 동일 사유로 별도 탐색 필요,"Claude(코시스 커넥터, 미탐색)",2026-07-30
A033-01,DT_1R11001_FRM101,360.0,한국무역협회(SITC에의한무역통계),,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101,표 후보 확인 (정의 차이 주의),"한국무역협회 SITC 무역통계(월간, 품목별). 기사의 산업부·관세청 연간 총수출액(683,609,488천달러)과 유사한 값이나 기사 통계는 산업통상자원부와 관세청 기준이므로 기준이 다를 수 있음","Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A033-02,DT_1R11001_FRM101,360.0,한국무역협회(SITC에의한무역통계),,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101,값 확인됨(일치) ,"작년(2023년)수입액: 631,767,209천달러(단위만 다름) 수출액: 683,609,488천달러 확인. 따라서 흑자: 518억 달러 일치.","Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A033-03,DT_1R11001_FRM101,360.0,한국무역협회(SITC에의한무역통계),,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101,"값 확인됨(근접, 불일치)","2024.12 수출액:61,359,250천달러로 기사의 613.8억달러와 유사하나 약간의 차이가 있음.","Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A033-04,DT_1R11001_FRM101,360.0,한국무역협회(SITC에의한무역통계),,https://kosis.kr/statHtml/statHtml.do?orgId=360&tblId=DT_1R11001_FRM101,매칭 실패,"품목별 수출액, 수입액 표는 찾았으나 '반도체' 품목은 확인이 안됨.","Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A034-01,DT_1KE10041,101.0,국가데이터처(온라인쇼핑동향조사),"21,942,389백만원/+2.6%",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1KE10041,"값 확인됨 (근접, 불일치)","2025.4 전체 거래액=21,942,389백만원(21조9424억원), 2024.4(21,383,534백만원) 대비 +2.61%. 기사의 증가율(2.5%)과는 근접하지만 절대액(21조6858억원)과는 약 2565억원 차이 - 상품+서비스 집계범위 차이 가능성","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A034-02,DT_1KE10041,101.0,국가데이터처(온라인쇼핑동향조사),"208,720백만원/-12.6%",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1KE10041,"값 확인됨 (근접, 불일치)","가방 2025.4=208,720백만원, 2024.4(238,750백만원) 대비 -12.58%. 기사 수치(-11.3%)와 1.3%p 차이 - 근접하나 정확히 일치하지 않음","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A034-03,DT_1KE10041,101.0,국가데이터처(온라인쇼핑동향조사),"446,594백만원/-49.0%",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1KE10041,값 확인됨 (일치),"이쿠폰서비스 2025.4=446,594백만원, 2024.4(876,287백만원) 대비 -49.03%. 기사 수치(-49.1%)와 사실상 일치","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A035-01,DT_1DA7E33S,101.0,국가데이터처(경제활동인구조사),,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7E33S,표 후보 확인 (세부 코드 미확인),"경제활동인구조사 산업별 취업자 표는 확인했으나  '보건업 및 사회복지서비스업' 세부 objL2 코드를 아직 특정하지 못함 (제조업=10, 건설업=41은 확인됨)","Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A035-02,DT_1DA7E33S,101.0,국가데이터처(경제활동인구조사),,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7E33S,표 후보 확인 (세부 코드 미확인),2014→2024 보건복지 종사자 증가 - 상동 이유,"Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A035-03,DT_1DA7E33S,101.0,국가데이터처(경제활동인구조사),"4,455천명(2024)/4,458.6천명(2014)",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7E33S,표 후보 확인 (비율 계산 필요),제조업(objL2=10) 취업자수는 확보했으나 전체 취업자 대비 비율(17%→15.6%) 계산은 분모(전체 취업자수) 대입 후 재계산 필요,"Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A036-01,,,,,,매칭 실패,"전국 주택 시가총액(6839조원) - KOSIS 로컬/전체 검색에서 '주택시가총액' 표를 찾지 못함. 한국부동산원이 별도 발표하는 자료로 추정, KOSIS 미등재 가능성 높음","Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A036-02,,,,,,매칭 실패,수도권 비중(67.7%) - 상동,"Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A036-03,,,,,,매칭 실패,유형별 비중(아파트76.3% 등) - 상동,"Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A037-01,,,,,,매칭 실패,"대한상의 자체 설문(기업 AI 도입률 6.4%) - KOSIS 로컬 카탈로그에서 매칭 표 없음, 확인 결과 민간기관(대한상공회의소) 자체조사로 KOSIS 미등재","Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A037-02,,,,,,매칭 실패,"산업별 AI도입률(정보통신업26%,제조업4%) - 상동","Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A038-01,DT_1DA7001S,101.0,국가데이터처(경제활동인구조사),"28,041,100명",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7001S,값 확인됨 (일치),"성별 경제활동인구총괄, 2024.12 전국 취업자=28,041.1천명. 기사 수치(28,041,000명)와 사실상 일치(반올림 차이)","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A038-02,DT_1DA7002S,101.0,국가데이터처(경제활동인구조사),5.9%,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7002S,값 확인됨 (일치),"연령별 경제활동인구총괄, 15-29세(청년) 2024.12 실업률=5.9%. 기사 수치와 일치","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A038-03,DT_1DA7001S,101.0,국가데이터처(경제활동인구조사),61.4%,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7001S,값 확인됨 (일치),2024.12 전국 고용률=61.4%. 기사 수치와 정확히 일치,"Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A039-01,DT_1C91,101.0,국가데이터처(지역소득),,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1C91,표 후보 확인 (주기 불일치),"지역소득, 시도별 경제활동별 지역내총생산 - 조회해보니 연간 데이터만 제공(2019~2024), 분기 데이터 없음. 기사의 2025.1분기 전기대비 0.1% 증가는 별도 분기 지표(예: 분기 지역경제동향, 속보성)일 가능성 - 추가 탐색 필요","Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A039-02,DT_1C91,101.0,국가데이터처(지역소득),,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1C91,표 후보 확인 (주기 불일치),경북1.6%/울산1.4%/서울1.0% - 상동 이유로 분기 데이터 확인 안됨,"Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A039-03,DT_1C91,101.0,국가데이터처(지역소득),,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1C91,표 후보 확인 (주기 불일치),건설업 GRDP -12.4%(분기) - 상동,"Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A040-01,,,,,,매칭 실패,"청년층 '쉬었음' 인구(50.4만명) - 경제활동인구조사 내 '활동상태별 비경제활동인구'(쉬었음/가사/심신장애 등) 세부표를 로컬 카탈로그에서 찾지 못함, 별도 특수 분류표로 추정","Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A040-02,DT_1DA7002S,101.0,국가데이터처(경제활동인구조사),44.3%,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7002S,값 확인됨 (일치),"연령별 경제활동인구총괄, 15-29세 2025.2 고용률=44.3%. 기사 수치와 일치","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A040-03,DT_1DA7002S,101.0,국가데이터처(경제활동인구조사),"3,557,200명",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1DA7002S,값 확인됨 (일치),"15-29세 2025.2 취업자=3,557.2천명. 기사 수치(3,557,000명)와 사실상 일치(반올림 차이)","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A041-01,,,,,,매칭 실패,"가계금융복지조사 은퇴가구 최소/적정 생활비(원 단위) - '노후준비' 관련 검색 결과 모두 민간·타부처 패널조사(장애인삶패널, 다문화가족실태조사 등)만 나오고 통계청 가계금융복지조사 내 해당 항목 표는 찾지 못함","Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A041-02,,,,,,매칭 실패,생활비 여유/부족 응답비율 - 상동,"Claude(코시스 커넥터 검색, 매칭 실패)",2026-07-30
A042-01,DT_1K41013,101.0,국가데이터처(서비스업동향조사),,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1K41013,표 후보 확인 (총계 항목 미확인),"A022-01과 동일 수치(2024년 연간 소매판매 -2.2%), 동일 표·동일 사유","Claude(코시스 커넥터 자동 매칭, 수치 미대조)",2026-07-30
A042-02,DT_1JH20201,101.0,국가데이터처(전산업생산지수),113.5(2024)/111.7(2023)/+1.6%,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1JH20201,"값 확인됨 (근접, 불일치)","전산업생산지수(원지수, 농림어업포함) 2024=113.5, 2023=111.7 대비 +1.61%. 기사 수치(+1.7%)와 0.1%p 차이 - 근접하나 정확히 일치하지 않음 (농림어업 제외 기준도 동일하게 +1.6%)","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
A042-03,DT_1G18011,101.0,국가데이터처(건설경기동향조사),"136,209,903백만원/-4.6%",https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1G18011,"값 확인됨 (근접, 불일치)","건설기성액(불변) 2024=136,209,903백만원, 2023(142,775,612백만원) 대비 -4.60%. 기사 수치(-4.9%)와 0.3%p 차이 - 근접하나 정확히 일치하지 않음","Claude(코시스 API 직접 조회, 수치 확인)",2026-07-30
